kod,sehir,sayi
TRA13,Bayburt,1042
TRB14,Tunceli,1261
TR906,Gümüþhane,2158
TRA24,Ardahan,2437
TR822,Çankýrý,2905
TRB24,Hakkari,2962
TR905,Artvin,2995
TRB13,Bingöl,3044
TRC34,Siirt,3252
TRB22,Muþ,3923
TRA23,Iðdýr,4243
TR813,Bartýn,4324
TRC13,Kilis,4731
TR823,Sinop,4965
TR715,Kýrþehir,4967
TRA12,Erzincan,5059
TR812,Karabük,5244
TRA22,Kars,5351
TRC33,Þýrnak,5438
TR413,Bilecik,5926
TR711,Kýrýkkale,6282
TR425,Yalova,6289
TR904,Rize,6490
TRB23,Bitlis,6615
TRC12,Adýyaman,6632
TRC32,Batman,6641
TR723,Yozgat,7453
TR613,Burdur,7515
TRA21,Aðrý,7946
TR522,Karaman,8386
TR424,Bolu,8423
TR821,Kastamonu,8449
TRC31,Mardin,8695
TR714,Nevþehir,8809
TR712,Aksaray,9019
TR903,Giresun,9035
TR834,Amasya,9498
TR713,Niðde,9996
TR213,Kýrklareli,10037
TR423,Düzce,10403
TRB12,Elâzýð,11269
TR334,Uþak,11741
TR832,Tokat,12036
TRB11,Malatya,12256
TR333,Kütahya,12540
TR722,Sivas,12807
TR833,Çorum,13194
TR633,Osmaniye,13579
TR901,Trabzon,13605
TR612,Isparta,14137
TRB21,Van,14265
TR811,Zonguldak,14460
TRA11,Erzurum,15609
TR212,Edirne,15701
TR902,Ordu,16197
TR222,Çanakkale,16462
TR332,Afyonkarahisar,20919
TR632,Kahramanmaraþ,20960
TR412,Eskiþehir,21064
TRC21,Þanlýurfa,22033
TR211,Tekirdað,22994
TR422,Sakarya,24455
TRC22,Diyarbakýr,26638
TR323,Muðla,30181
TR631,Hatay,30839
TR831,Samsun,34082
TR421,Kocaeli,34902
TR322,Denizli,37724
TR721,Kayseri,40116
TR221,Balýkesir,40188
TRC11,Gaziantep,40274
TR321,Aydýn,41330
TR331,Manisa,45985
TR521,Konya,55540
TR622,Mersin,57075
TR411,Bursa,70616
TR621,Adana,72798
TR611,Antalya,90556
TR510,Ankara,96517
TR310,Ýzmir,152317
TR100,Ýstanbul,285655
